steamid,appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,header_image,background,short_description
17460,717000,SKIMMERZ,2017-10-14,1,Harrison Went,Harrison Went,windows,0,Single-player;Partial Controller Support,Action;Casual;Indie,Action;Indie;Casual,0,1,0,0,0,0-20000,1.69,https://steamcdn-a.akamaihd.net/steam/apps/717000/header.jpg?t=1511492408,https://steamcdn-a.akamaihd.net/steam/apps/717000/page_bg_generated_v6b.jpg?t=1511492408,Battle the enemy 3 rounds at a time in SKIMMERZ. Utilise game changing abilities to turn the tide and unlock each unique skimmer as you progress through colourful arena style maps.
2418,269430,Burning Cars,2014-01-31,1,Polynetix Studio,Polynetix Studio,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Partial Controller Support,Racing,Racing,15,4,32,0,0,50000-100000,4.79,https://steamcdn-a.akamaihd.net/steam/apps/269430/header.jpg?t=1447359765,https://steamcdn-a.akamaihd.net/steam/apps/269430/page_bg_generated_v6b.jpg?t=1447359765,"He got close a few times, but never won the Trashpit Championship. As skilled behind the wheel as your father was, there was something missing. Maybe it was instinct, maybe ferocity, or the hummingbird beat reaction times that success on the track demands."
25789,985930,::CallBack,2019-02-08,1,Water Temple Studio,Water Temple Studio,windows,0,Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Full controller support,Action;Casual;Indie;Sports;Early Access,Early Access;Indie;Casual,0,1,0,0,0,0-20000,4.99,https://steamcdn-a.akamaihd.net/steam/apps/985930/header.jpg?t=1549674371,https://steamcdn-a.akamaihd.net/steam/apps/985930/page_bg_generated_v6b.jpg?t=1549674371,Compete in this frenetic arcade local party-game between friends by throwing projectiles at your opponents at full speed! Trajectories and rebounds must be mastered if you want to become the Champion of the Arena ! You need one controller per player to play.
14713,639320,Fading,2017-12-22,1,Kolapo Oni,Kolapo Oni,windows;mac,0,Single-player;Steam Achievements;Full controller support,Indie,Indie;Platformer;Minimalist,9,6,2,0,0,0-20000,2.89,https://steamcdn-a.akamaihd.net/steam/apps/639320/header.jpg?t=1513939973,https://steamcdn-a.akamaihd.net/steam/apps/639320/page_bg_generated_v6b.jpg?t=1513939973,Traverse the mind of a troubled man in a minimalist 2D adventure.
3099,296490,GemCraft - Chasing Shadows,2015-04-30,1,Game in a Bottle,Armor Games Studios,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Indie;Strategy,Tower Defense;Strategy;Indie,419,2179,88,2273,3334,100000-200000,6.99,https://steamcdn-a.akamaihd.net/steam/apps/296490/header.jpg?t=1511185831,https://steamcdn-a.akamaihd.net/steam/apps/296490/page_bg_generated_v6b.jpg?t=1511185831,"An epic, challenging tower defense game with an emphasis on strategy and replayability. Summon gems of immense magical potency and harness their unique abilities against a seemingly endless horde of monsters. The archdemon seeks to swallow the world, and you must journey to stand against her."
1957,250660,Bunny Must Die! Chelsea and the 7 Devils,2013-09-26,1,Platine Dispositif,Rockin' Android;Rockin Android,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Adventure;Indie,Metroidvania;Anime;Action,32,221,100,425,425,20000-50000,6.99,https://steamcdn-a.akamaihd.net/steam/apps/250660/header.jpg?t=1524153917,https://steamcdn-a.akamaihd.net/steam/apps/250660/page_bg_generated_v6b.jpg?t=1524153917,"From the creator of the Gundemonium Collection comes a thrilling new 2D action-platformer! Help Bunny escape the Devils’ Labyrinth and defeat the 7 Devils in this hilariously over-the-top action-platformer game. Battle through a large, connected map filled with unique enemies, traps, and puzzles."
12842,578310,BRAIN / OUT,2017-02-24,1,Desertkun,Desertkun,windows;mac;linux,0,Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support;Includes level editor,Action;Free to Play;Indie;Massively Multiplayer,Free to Play;Multiplayer;Shooter,84,8343,2112,1433,77,1000000-2000000,0.0,https://steamcdn-a.akamaihd.net/steam/apps/578310/header.jpg?t=1551112027,https://steamcdn-a.akamaihd.net/steam/apps/578310/page_bg_generated_v6b.jpg?t=1551112027,Brain / Out is a multiplayer shooter with a nostalgic post-Soviet feel. Experience dynamic battles and exterminate your enemies with a large arsenal of modern weaponry. Lock'n'load!
7373,419480,Starpoint Gemini Warlords,2017-05-23,1,Little Green Men Games,Iceberg Interactive,windows,0,Single-player;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,Action;RPG;Simulation;Strategy,Space;Open World;Action,54,1830,628,0,0,100000-200000,26.99,https://steamcdn-a.akamaihd.net/steam/apps/419480/header.jpg?t=1552734291,https://steamcdn-a.akamaihd.net/steam/apps/419480/page_bg_generated_v6b.jpg?t=1552734291,Strategy from the front lines! Starpoint Gemini Warlords combines 3rd person capital spaceship combat with 4X strategy and RPG gameplay elements. Build mighty war fleets and send them into battle or lead them into combat yourself. Become the Warlord and conquer the Gemini system!
19332,771530,Take That,2018-12-24,1,S.Y. GAMES,S.Y. GAMES,windows;mac,0,Single-player;Steam Achievements;Steam Leaderboards,Action;Adventure;Casual;Indie;Early Access,Early Access;Indie;Casual,16,31,6,0,0,0-20000,2.09,https://steamcdn-a.akamaihd.net/steam/apps/771530/header.jpg?t=1552994625,https://steamcdn-a.akamaihd.net/steam/apps/771530/page_bg_generated_v6b.jpg?t=1552994625,"Fast-paced Western shooting game, can quickly play the core content even if you only got 10 minutes break. Other fun patterns are added to the game to help you kill time when you don't know what to play."
20378,800700,Project Hastur,2019-02-12,1,Polymorphic Games,Polymorphic Games;University of Idaho,windows;mac;linux,0,Single-player;Steam Cloud,Indie;Strategy;Early Access,Early Access;Strategy;Indie,0,6,1,0,0,0-20000,3.99,https://steamcdn-a.akamaihd.net/steam/apps/800700/header.jpg?t=1550087708,https://steamcdn-a.akamaihd.net/steam/apps/800700/page_bg_generated_v6b.jpg?t=1550087708,Defend humanity against the ever changing threat of the alien Proteans. Project Hastur combines elements of 3D tower defense and real-time strategy with models of biological evolution to create a uniquely challenging experience.
